ItemId,product_name,category,brand,item_quality_risk
1,Seven7 Women's Long Sleeve Stripe Belted Top,Tops & Tees,Seven7,0.09166666666666667
2,Calvin Klein Women's MSY Crew Neck Roll Sleeve,Tops & Tees,Calvin Klein,0.3
3,Calvin Klein Jeans Women's Solid Flyaway Shirt,Tops & Tees,Calvin Klein Jeans,0.0
4,Bailey 44 Women's Undertow Top,Tops & Tees,Bailey 44,0.06428571428571428
5,Anne Klein Women's Plus-Size Button Front Blouse,Tops & Tees,Anne Klein,0.225
6,Wilt Women's Color Blocked Big Mixed Slant Top,Tops & Tees,Wilt,0.18333333333333335
7,Lucky Brand Women's Riad Tee,Tops & Tees,Lucky Brand,0.0
8,Ella Moss Women's Stella Button Up Shirt,Tops & Tees,Ella Moss,0.14285714285714285
9,Alternative Women's Alice Drop Shoulder V-Neck,Tops & Tees,Alternative,0.18000000000000002
10,Calvin Klein Women's Plus-Size Print Drape Top,Tops & Tees,Calvin Klein,0.09000000000000001
11,Lucky Brand Women's Plus-Size Jane Scarf Blouse,Tops & Tees,Lucky Brand,0.18000000000000002
12,Jones New York Women's Pleated Round Neck Blouse,Tops & Tees,Jones New York,0.2571428571428571
14,Alternative Women's Florence Wrap,Tops & Tees,Alternative,0.18000000000000002
15,Lucky Brand Women's Plus-Size Moroccan Medallion Tee,Tops & Tees,Lucky Brand,0.275
16,2B Paradise Breeze Button Down Tank,Tops & Tees,2b by bebe,0.2857142857142857
17,Calvin Klein Jeans Women's Embellished Stripe Long Sleeve Knit Top,Tops & Tees,Calvin Klein Jeans,0.0
18,Hurley Sun Also Sets T-Shirt - Short-Sleeve - Women's,Tops & Tees,Hurley,0.225
19,Billabong Aussies T-Shirt - Short-Sleeve - Women's,Tops & Tees,Billabong,0.0
20,Anne Klein Women's Bow Blouse,Tops & Tees,Anne Klein,0.0
21,Volcom Juniors Pocket Blocket Long Sleeve Tee,Tops & Tees,Volcom,0.15
